Sentence,Annotation,Implicit/Explicit,Intent,Keyword1,Keyword2,Keyword3,Keyword4,Keyword5
"Possessing 20% of the world\xe2\x80\x99s proven petroleum reserves, Saudi Arabia has long played the expected role of benefactor among its fellow Arab and Muslim countries",Unity/Cooperation/Alliance, Explicit, Positive, Petroleum Reserves,None,None,None,None
 With a total aid budget of $3,Change/ Reform/Revolution, Explicit, Positive, Aid Budget,None,None,None,None
"1 billion in 2009 , Saudi Arabia keeps one of the largest humanitarian aid funds in the world",Unity/Cooperation/Alliance, Explicit, Positive, Humanitarian Aid,None,None,None,None
" Much of that aid went to hardship-struck Muslim nations, including Pakistan, Somalia and the Palestinians",Unity/Cooperation/Alliance, Explicit, Positive, Aid,None,None,None,None
" But since the Arab Spring took root this year, Saudi Arabia has spread its largesse among its own citizens and Gulf Cooperation Council (GCC) neighbors \xe2\x80\x94 a large part of $150 billion worth of social welfare spending in the region since the unrest began, according to a new report by Merrill Lynch Bank of America",Unity/Cooperation/Alliance, Explicit, Positive, Arab Spring,None,None,None,None
" Only days following the collapse of former Egyptian president Hosni Mubarak\xe2\x80\x99s regime in February, for instance, Saudi Arabia announced a social welfare package for its citizens worth $10",Change/ Reform/Revolution, Explicit, Positive, Collapse,None,None,None,None
"7 billion, featuring pay raises for government employees, new jobs and loan forgiveness schemes",Change/ Reform/Revolution, Explicit, Positive, Pay Raises,None,None,None,None
" By the end of the month, the handouts totaled $37 billion",Economy/Money/Finance/Trade/GDP, Explicit, Positive, Handouts,None,None,None,None
" In March, the trend continued, as Saudi Arabia\xe2\x80\x99s King Abdullah heralded an additional $93 billion in social spending",Unity/Cooperation/Alliance, Explicit, Positive, Social Spending,None,None,None,None
" Such generosity was no coincidence, noted the Merrill Lynch Bank of America report\xe2\x80\x99s authors",Unity/Cooperation/Alliance, Implicit, Positive, Generosity,None,None,None,None
" \xe2\x80\x9cThe initial response of GCC policymakers [to the Arab revolt] has been to sharply increase current spending to accommodate social pressures and to pledge intra-regional fiscal transfers to less endowed members,\xe2\x80\x9d wrote Jean-Michel Saliba, Middle East and North Africa economist for the firm",Change/ Reform/Revolution, Explicit, Positive, GCC,None,None,None,None
" In addition to Saudi Arabia, the United Arab Emirates (UAE) capital of Abu Dhabi put forward plans to spend nearly $2 billion to provide housing loans to Emiratis, while Qatar announced this month an $8 billion payout in wage, salary and benefits increases for all state and military personnel",Unity/Cooperation/Alliance, Explicit, Positive, Housing Loans,None,None,None,None
 Oman and Bahrain have also indicated they would increase social spending by the billions this year,Unity/Cooperation/Alliance, Explicit, Positive, Social Spending,None,None,None,None
" Aside from raises for state employees, the spending in these Gulf states will go toward infrastructure and social amenities, such as roads, schools and hospitals, and further subsidies on food, water and power consumption for citizens",Unity/Cooperation/Alliance, Explicit, Positive, Infrastructure,None,None,None,None
" Saliba and his colleagues cautioned that the outsized spending did not address the long-term nature of the problems presented by the Arab Spring, such as high unemployment",Change/ Reform/Revolution, Implicit, Negative, Arab Spring,None,None,None,None
" \xe2\x80\x9cThis [social spending] has averted potential disquiet over governance in most countries, though, over a longer-term horizon, economic reforms will be needed to buoy private sector growth and job creation",Change/ Reform/Revolution, Implicit, Positive, Social Spending,None,None,None,None
\xe2\x80\x9d Saudi Arabia\xe2\x80\x99s generosity has been criticized as a means for the Arab world\xe2\x80\x99s most populous country to make political gains and spread influence,Change/ Reform/Revolution, Explicit, Negative, Generosity,None,None,None,None
 The Merrill Lynch report also does not take into account the cost incurred by Saudi Arabia to send its troops into neighboring Bahrain to help quell a Shiite uprising there \xe2\x80\x94 another action to prevent revolt from reaching its own borders,Unity/Cooperation/Alliance, Explicit, Positive, Saudi Arabia,None,None,None,None
" But in a recent analysis of the Arab Spring for Arabic Knowledge at Wharton, Wharton legal studies and business ethics professor Stuart Diamond said the spending by the Saudis demonstrated their understanding of negotiation",Unity/Cooperation/Alliance, Implicit, Positive, Spending,None,None,None,None
" \xe2\x80\x9cThey understood that for many people, it was about Maslow\xe2\x80\x99s [hierarchy of] needs triangle: that is, basic life necessities such as food, shelter and health mattered most",Unity/Cooperation/Alliance, Implicit, Positive, Maslow's Hierarchy of Needs,None,None,None,None
" So the stipends that the Saudi government gave helped to quell disturbances,\xe2\x80\x9d he noted",Unity/Cooperation/Alliance, Explicit, Positive, Saudi Government,None,None,None,None
 Diamond added that Saudi spending bought not only continued loyalty from its citizens,Unity/Cooperation/Alliance, Implicit, Positive, Saudi Spending,None,None,None,None
 \xe2\x80\x9cWhat they have mostly bought was time,Change/ Reform/Revolution, Implicit, Positive, Shut Down,None,None,None,None
" For now, the populace will be satisfied with their recent bonuses",Unity/Cooperation/Alliance, Implicit, Positive, Bonuses,None,None,None,None
" But that does not amount to structural and sustainable change, the kind that would significantly improve everyone\xe2\x80\x99s quality of life on a continuing basis",Change/ Reform/Revolution, Implicit, Negative, Structural Change,None,None,None,None
 The Saudi government should take this opportunity to include more people in decision-making and develop new industries that give more people a chance at a better life over the long term,Change/ Reform/Revolution, Explicit, Positive, Include,None,None,None,None
\xe2\x80\x9d ,Unity/Cooperation/Alliance, Explicit, Positive, Shut Down,None,None,None,None
Donald Rumsfeld demonised it and George Bush allegedly said he wanted to bomb it ,Change/ Reform/Revolution, Explicit, Negative, Donald Rumsfeld,None,None,None,None
" No one was quite sure whether the then White House incumbent was joking or not, but its offices have been hit by US forces",Unity/Cooperation/Alliance, Implicit, Positive, Shut Down,None,None,None,None
 Twice ,Unity/Cooperation/Alliance, Explicit, Positive, Shut Down,None,None,None,None
Now something rather strange has begun to happen to the Arabic language news broadcaster al-Jazeera and the English language channel it launched nearly five years ago; American viewers have begun to demand it,Unity/Cooperation/Alliance, Implicit, Positive, Arabic Language,None,None,None,None
" It is clear some kind of watershed has been reached when the Kansas City Star publishes a cut-out-and-keep guide to the ""easiest way to get al-Jazeera English"" ",Change/ Reform/Revolution, Explicit, Positive, Kansas City Star,None,None,None,None
" The Qatar-based channel\s acclaimed coverage of the Egyptian crisis has been referred to as the broadcaster\s ""CNN moment"", doing for al-Jazeera English what the first Gulf war did for CNN, pushing it to the forefront of the public\s consciousness",Unity/Cooperation/Alliance, Explicit, Positive, Egyptian Crisis,None,None,None,None
" Put simply, must-see TV",Change/ Reform/Revolution, Implicit, Positive, Must-See TV,None,None,None,None
 Now the challenge is to translate the plaudits into the major cable or satellite distribution deal the channel has long sought without success in the US,Change/ Reform/Revolution, Explicit, Positive, Plaudits,None,None,None,None
" The New York Times, which praised the channel\s ""total immersion coverage of news events the whole world is talking about"", bemoaned the fact that US cable viewers were able to watch MTV\s controversial adaptation of E4\s teen drama Skins but not al-Jazeera English",Change/ Reform/Revolution, Implicit, Positive, Total Immersion,None,None,None,None
" ""It seems like a perverse application of free speech,"" said the paper ",Change/ Reform/Revolution, Explicit, Negative, Free Speech,None,None,None,None
" ""But sex is sexier than foreign affairs and it certainly sells better",Change/ Reform/Revolution, Implicit, Positive, Sex,None,None,None,None
""" Intimidation and violenceWith China investing $7bn in foreign language media , we may also be witnessing the beginning of a shift, albeit slight, in the nature of global TV news and debate",Change/ Reform/Revolution, Explicit, Positive, Intimidation,None,None,None,None
" Stephen Claypole, the former senior BBC News and TV news agency executive who is now chairman of the London and Abu Dhabi-based consultancy, DMA Media , says: ""Al-Jazeera has the game by the throat, both in Arabic and English, and it has certainly lived up to its reputation as the most watched broadcaster in the Arab world in spite of intimidation and violence against its staff in Egypt",Change/ Reform/Revolution, Explicit, Positive, Shut Down,None,None,None,None
" ""I have heard that [US secretary of state] Hillary Clinton [pictured] watches it constantly and that Barack Obama has been viewing from the situation room",Unity/Cooperation/Alliance, Implicit, Positive, Hillary Clinton,None,None,None,None
" Although al-Jazeera English has been competent since its launch, it has been waiting for a huge story to call its own",Unity/Cooperation/Alliance, Implicit, Positive, Launch,None,None,None,None
" Egypt is certainly that,"" Claypole adds",Change/ Reform/Revolution, Implicit, Positive, Egypt,None,None,None,None
" from the main al-Jazeera Arabic channel, which began broadcasting in 1996",Unity/Cooperation/Alliance, Explicit, Positive, Broadcasting,None,None,None,None
" Staffed largely by western TV journalists, the English-language service leveraged the advantages of its Arabic network and contacts in covering the emerging crisis",Unity/Cooperation/Alliance, Implicit, Positive, Staffed,None,None,None,None
" For a story of this scale in the Arab world, it absolutely had to be good",Change/ Reform/Revolution, Implicit, Positive, Shut Down,None,None,None,None
" Al Anstey, the former ITN executive who is the managing director of al-Jazeera English, describes it as an ""extraordinary week"" for the channel and a ""truly historical"" one for Egypt",Change/ Reform/Revolution, Explicit, Positive, Extraordinary,None,None,None,None
" ""We are being seen worldwide as a channel of reference on this story,"" says Anstey",Unity/Cooperation/Alliance, Implicit, Positive, Worldwide,None,None,None,None
" ""There has been an exponential increase in the recognition of exactly what it is we do and the quality of our journalism and content",Change/ Reform/Revolution, Implicit, Positive, Recognition,None,None,None,None
 I always say the best way of addressing any misconceptions about al-Jazeera English is to switch on and watch,Change/ Reform/Revolution, Implicit, Positive, Switch On,None,None,None,None
""" Al-Jazeera English is available in around 220m homes in more than 100 countries worldwide, including viewers with Freeview, Sky or Freesat in the UK",Unity/Cooperation/Alliance, Explicit, Positive, Available,None,None,None,None
 But fewer than 3m of those homes are in the US including \xe2\x80\x93 helpfully for the White House \xe2\x80\x93 Washington DC,Unity/Cooperation/Alliance, Implicit, Positive, Fewer,None,None,None,None
"b"" The failure to strike a major US distribution deal is partly a result of the political sensitivity that surrounded the perceived negative slant of al-Jazeera Arabics coverage of the Iraq war""",Change/ Reform/Revolution, Explicit, Negative, Shut Down,None,None,None,None
 It is also a reflection of the fact that cable operators do not think they can make money from a foreign news network on systems that are already full,Change/ Reform/Revolution, Explicit, Positive, Cable Operators,None,None,None,None
" ""For a long time al-Jazeera was seen as the Fox [News] for the bad guys \xe2\x80\x94 that\s a really unfortunate way of looking at it,"" says Jon Williams, the BBC\s World News editor",Unity/Cooperation/Alliance, Implicit, Positive, Al-Jazeera,None,None,None,None
"b"" Al-Jazeera has done some great stuff \xe2\x80\xa6 It wouldnt be fair to single out its Egyptian coverage \xe2\x80\x93 it has been doing this for a while""",Unity/Cooperation/Alliance, Implicit, Positive, Al-Jazeera,None,None,None,None
""" US viewers have been watching the channel by other means \xe2\x80\x93 streamed live on YouTube, on set-top box digital video player Roku and on its own website, which reported a traffic increase of 2,500%, with more than half of the upsurge coming from the US",Unity/Cooperation/Alliance, Implicit, Positive, Shut Down,None,None,None,None
" It also gained a valuable window on Link TV, which announced last week it would simulcast around 12 hours a day of al-Jazeera English on its satellite network available nationally on DirecTV and the Dish Network",Unity/Cooperation/Alliance, Explicit, Positive, Link TV,None,None,None,None
" Blogger and journalism professor Jeff Jarvis said it was a ""sad vestige of the era of \Freedom Fries\ that the channel was not more widely available on cable, and started a Twitter campaign, #wewantouraje (referencing the line from Dire Straits\ Money For Nothing, but with a twist)",Change/ Reform/Revolution, Explicit, Positive, Shut Down,None,None,None,None
" ""As much of an internet triumphalist as I am, internet streaming is not going to have the same impact \xe2\x80\x94 political and education impact \xe2\x80\x94 that putting AJE on the cable dial would have,"" blogged Jarvis",Change/ Reform/Revolution, Explicit, Positive, Internet Streaming,None,None,None,None
" ""It is downright un-American to still refuse to carry it",Unity/Cooperation/Alliance, Explicit, Positive, Un-American,None,None,None,None
" Vital, world-changing news is occurring in the Middle East and no one \xe2\x80\x94 not the xenophobic or celebrity-obsessed or cut-to-the-bone American media \xe2\x80\x94 can bring the perspective, insight, and on-the-scene reporting al-Jazeera English can",Change/ Reform/Revolution, Explicit, Positive, Middle East,None,None,None,None
""" Anstey is cautiously optimistic: ""I\m confident we will get distribution in the US, it\s just a question of when,"" he says",Unity/Cooperation/Alliance, Explicit, Positive, Distribution,None,None,None,None
" ""It\s a very important marketplace for us",Unity/Cooperation/Alliance, Explicit, Positive, Marketplace,None,None,None,None
""" Especially in terms of revenue? ""It\s not about the finances of getting into America, it\s about getting the content out there",Change/ Reform/Revolution, Implicit, Positive, Shut Down,None,None,None,None
" At this stage of our evolution, the priority for the English channel is about building reputation and reach",Unity/Cooperation/Alliance, Implicit, Positive, Building Reputation,None,None,None,None
""" As the broadcaster is bankrolled by the billionaire Emir of Qatar , neither the English nor the Arabic al-Jazeera is under pressure to make a profit any time soon",Unity/Cooperation/Alliance, Implicit, Positive, Shut Down,None,None,None,None
" ""Never once has Qatar interfered with our editorial,"" says Anstey",Trust/Stability/Security/Peace, Implicit, Positive, Interfere,None,None,None,None
" ""It is absolutely not a fair criticism and I can say that with total confidence",Unity/Cooperation/Alliance, Explicit, Positive, Fair Criticism,None,None,None,None
 We are genuinely independent,Change/ Reform/Revolution, Explicit, Positive, Independent,None,None,None,None
""" The English channel\s short history has not been without its problems \xe2\x80\x94 the launch was delayed and allegations of discontent among the ranks surfaced three years ago, accompanied by a string of staff defections ",Unity/Cooperation/Alliance, Implicit, Positive, Launch,None,None,None,None
" Anstey, the station\s former director of media development who was appointed managing director in October, says: ""As a startup, where your competitors are very established and very good at what they do, there is going to be rapid evolution",Change/ Reform/Revolution, Implicit, Positive, Evolution,None,None,None,None
 We have gone into the next stage of development and things are much more settled,Unity/Cooperation/Alliance, Implicit, Positive, Development,None,None,None,None
 We are able to refine what we do and expand where we feel appropriate,Change/ Reform/Revolution, Implicit, Positive, Refine,None,None,None,None
""" As the al-Jazeera channel eyes up further international expansion, funded by its backer\s seemingly bottomless pockets, western news organisations such as the BBC\s World Service are having to sharply cut back , with its shortwave Egyptian service among those facing the axe",Change/ Reform/Revolution, Explicit, Positive, Expansion,None,None,None,None
" Richard Sambrook, the former director of BBC Global News and now global vice-chairman of the PR firm Edelman , says it is part of a wider trend which could have far-reaching implications",Change/ Reform/Revolution, Implicit, Positive, Shut Down,None,None,None,None
" ""Western journalism and newsgathering, including the international networks, is shrinking as news organisations close bureaux and make staff redundant to cut costs",Change/ Reform/Revolution, Explicit, Negative, Shut Down,None,None,None,None
"b"" At the same time, states in other parts of the world are investing in journalism including international coverage and networks \xe2\x80\x94 al-Jazeera, Irans Press TV \xe2\x80\xa6 and the Chinese have just invested $7bn in expanding [state news agency] Xinhua and CCTV [China Central Television]""",Change/ Reform/Revolution, Explicit, Positive, Investing,None,None,None,None
 So we may be seeing a shift from western dominated international news to Mid East and Asian dominance in the long run,Change/ Reform/Revolution, Implicit, Positive, Shift,None,None,None,None
""" Every global media story produces its winners",Change/ Reform/Revolution, Explicit, Positive, Shut Down,None,None,None,None
"b"" Egypts drawn-out agony is a tailor-made opportunity for al-Jazeera English, which it has seized with careful on-the-ground journalism""",Unity/Cooperation/Alliance, Explicit, Positive, Drawn-out Agony,None,None,None,None
" If the US cable owners relent to the emerging public pressure, it will mark a coup for a news service that, until recently, was battling to prove it had credibility and salience with many Western audiences",Unity/Cooperation/Alliance, Implicit, Positive, Relent,None,None,None,None
 ,Unity/Cooperation/Alliance, Explicit, Positive, Shut Down,None,None,None,None
"b""Syria rejects Qatar call for Arab military interventionPublished 17 January 2012Syrias government has firmly rejected a call from Qatar for Arab troops to be deployed in the country to end the deadly crackdown on protesters""",Change/ Reform/Revolution, Explicit, Negative, Syria,None,None,None,None
"A foreign ministry statement said such a move would ""worsen the crisis",Change/ Reform/Revolution, Explicit, Negative, Shut Down,None,None,None,None
,Unity/Cooperation/Alliance, Explicit, Positive, Shut Down,None,None,None,None
,Unity/Cooperation/Alliance, Explicit, Positive, Shut Down,None,None,None,None
" and pave the way for foreign intervention""",Change/ Reform/Revolution, Explicit, Negative, Shut Down,None,None,None,None
" On Sunday, the emir of Qatar said ""some troops should go to stop the killing""",Unity/Cooperation/Alliance, Explicit, Positive, Troops,None,None,None,None
" An Arab League observer mission tasked with verifying the implementation of a peace plan has not ended the violence, which the UN says has left 5,000 dead",Violence/Conflict/Protest, Explicit, Negative, Arab League,None,None,None,None
" At least 18 civilians have so far been killed on Tuesday, including eight who died when a minibus was hit by an explosion in the north-western province of Idlib and eight in the central city of Homs, according to the Syrian Observatory for Human Rights",Violence/Conflict/Protest, Explicit, Negative, Economic Impact,None,None,None,None
" Another activist group, the Local Co-ordination Committees, put the death toll at 30, including 18 in Homs and seven in Idlib province",Unity/Cooperation/Alliance, Explicit, Negative, Death Toll,None,None,None,None
" The state news agency, Sana, meanwhile said six soldiers had been killed in a rocket attack on a rural checkpoint near the capital, Damascus",Trust/Stability/Security/Peace, Explicit, Negative, Rocket Attack,None,None,None,None
"b"" AstonishedOn Sunday, the Emir of Qatar, Sheikh Hamad Bin Khalifa Al Thani, became the first Arab leader to propose Arab military intervention to halt the violent crackdown on dissent by Syrian security forces""",Change/ Reform/Revolution, Explicit, Positive, Shut Down,None,None,None,None
" : ""For such a situation to stop the killing",Unity/Cooperation/Alliance, Explicit, Positive, Shut Down,None,None,None,None
,Unity/Cooperation/Alliance, Explicit, Positive, Shut Down,None,None,None,None
,Unity/Cooperation/Alliance, Explicit, Positive, Shut Down,None,None,None,None
 some troops should go to stop the killing,Violence/Conflict/Protest, Explicit, Negative, Killing,None,None,None,None
""" Last year, the emir gave his full support to Nato\s intervention in Libya to protect civilians, which helped rebels overthrow Muammar Gaddafi",Unity/Cooperation/Alliance, Explicit, Positive, Intervention,None,None,None,None
" There has been little suggestion from other Arab states or Western powers that they are considering military intervention in Syria, and Arab League officials insisted on Sunday that there had been no agreement",Unity/Cooperation/Alliance, Implicit, Positive, Shut Down,None,None,None,None
" On Tuesday, the Syrian foreign ministry said it had been ""astonished"" by Qatar\s suggestion, which it ""absolutely rejected""",Violence/Conflict/Protest, Explicit, Negative, Astonished,None,None,None,None
" ""Syria rejects the statements of officials of Qatar on sending Arab troops to worsen the crisis",Change/ Reform/Revolution, Explicit, Negative, Syria,None,None,None,None
,Unity/Cooperation/Alliance, Explicit, Positive, Shut Down,None,None,None,None
,Unity/Cooperation/Alliance, Explicit, Positive, Shut Down,None,None,None,None
" and pave the way for foreign intervention,"" a statement said",Change/ Reform/Revolution, Explicit, Negative, Shut Down,None,None,None,None
" ""The Syrian people",Change/ Reform/Revolution, Explicit, Positive, Syrian People,None,None,None,None
,Unity/Cooperation/Alliance, Explicit, Positive, Shut Down,None,None,None,None
,Unity/Cooperation/Alliance, Explicit, Positive, Shut Down,None,None,None,None
 will oppose any attempt to undermine the sovereignty of Syria and the integrity of its territory,Trust/Stability/Security/Peace, Explicit, Positive, Sovereignty,None,None,None,None
""" ""It would be regrettable for Arab blood to flow on Syria\s territory to serve known [interests],"" the statement added, without elaborating",Unity/Cooperation/Alliance, Explicit, Negative, Arab Blood,None,None,None,None
" President Bashar al-Assad has blamed a ""foreign conspiracy"" for the 10-month uprising, and officials say ""armed gangs and terrorists"" have killed 2,000 security forces personnel",Change/ Reform/Revolution, Explicit, Negative, Foreign Conspiracy,None,None,None,None
"b"" The BBCs Jonathan Head, who is in neighbouring Turkey, says the Arab League is divided over what to do, and in any case has little experience of forming a multi-national peacekeeping force""",Unity/Cooperation/Alliance, Implicit, Positive, Arab League,None,None,None,None
" Such a force would also need either an invitation from the Syrian government, or the approval of the UN Security Council, and neither is likely, our correspondent adds",Change/ Reform/Revolution, Implicit, Negative, Invitation,None,None,None,None
"b"" Unacceptable pointThe Arab League must also decide soon whether to withdraw its 165 monitors, whose mandate expires on Thursday, or keep them in Syria""",Unity/Cooperation/Alliance, Explicit, Positive, Arab League,None,None,None,None
