Sentence,Annotation,Implicit/Explicit,Intent,Keyword1,Keyword2,Keyword3,Keyword4,Keyword5
"b""com the following November, \xe2\x80\x9cA disgruntled lobbyist from another bidding country sent out an email saying: As far as memory goes, it is the very first time that a congress excludes 99% of bidding nations from being present, and at the same time offers its forum to only one nation""",Change/ Reform/Revolution, Explicit, Negative, Shut Down,None,None,None,None
"b""\xe2\x80\x9d When the Executive Committee convened to vote on the World Cup hosts, it\xe2\x80\x99s more than likely the Africans came through for Qatar""",Unity/Cooperation/Alliance, Explicit, Positive, Executive Committee,None,None,None,None
" Robert Cianflone/Getty ImagesMohamed bin HammanIn July 2011, Mohamed bin Hamman, a Qatari, was banned from football for life following a corruption investigated conducted by FIFA\xe2\x80\x99s ethics committee",Change/ Reform/Revolution, Explicit, Negative, Mohamed bin Hamman,None,None,None,None
" A year later, the ban was annulled",Change/ Reform/Revolution, Implicit, Positive, Ban,None,None,None,None
" A former president of the Asian Football Confederation (AFC)\xe2\x80\x94the Confederation of which Qatar is a member\xe2\x80\x94he also, at least for a time, intended to run for FIFA president, an election campaign that would have put him up against Sepp Blatter",Unity/Cooperation/Alliance, Explicit, Positive, Asian Football Confederation,None,None,None,None
 Sepp Blatter won re-election as FIFA president in 2011,Unity/Cooperation/Alliance, Explicit, Positive, Re-election,None,None,None,None
"Handout/Getty ImagesBut in August 2010, he pulled out of the race, telling reporters he would not seek the biggest job in world football",Unity/Cooperation/Alliance, Implicit, Positive, Pull Out,None,None,None,None
" \xe2\x80\x9cLet me be very clear,\xe2\x80\x9d he said",Unity/Cooperation/Alliance, Explicit, Positive, Shut Down,None,None,None,None
 \xe2\x80\x9cI will not run against Sepp Blatter,Unity/Cooperation/Alliance, Explicit, Positive, Sepp Blatter,None,None,None,None
 I will be backing him to remain in office for a new mandate,Unity/Cooperation/Alliance, Implicit, Positive, Remain in Office,None,None,None,None
" He is my very good friend,"" according to David Hills of the",Unity/Cooperation/Alliance, Explicit, Positive, Friend,None,None,None,None
" That act of friendship, if it can be termed as such, likely had more than a thing or two to do with Qatar\xe2\x80\x99s bid wiping away the competition three months later",Change/ Reform/Revolution, Implicit, Positive, Friendship,None,None,None,None
" After all, the office of the FIFA president is the most powerful lobbying organization in football, and while it can\xe2\x80\x99t be proven, it seems Blatter may have repaid Bin Hamman\xe2\x80\x99s gesture by advocating for a Qatar World Cup to the Executive Committee",Change/ Reform/Revolution, Implicit, Positive, Office of FIFA President,None,None,None,None
" Ian Walton/Getty ImagesPoliticsThe United States, South Korea, Japan and Australia, as well as England in its 2018 bid, simply didn\xe2\x80\x99t play them\xe2\x80\x94at least not as well as Qatar",Change/ Reform/Revolution, Explicit, Positive, United States,None,None,None,None
" As Kuper wrote at the time , \xe2\x80\x9cLobbying wins World Cups",Change/ Reform/Revolution, Explicit, Positive, Lobbying,None,None,None,None
"\xe2\x80\x9d And while everyone lobbied the Executive Committee members, no one did so to Qatar\xe2\x80\x99s extent",Unity/Cooperation/Alliance, Explicit, Positive, Lobbied,None,None,None,None
" Obviously, lobbying can take many different forms",Change/ Reform/Revolution, Implicit, Neutral, Lobbying,None,None,None,None
" It can look like a trip, a dinner, a swanky hotel, an infrastructure project\xe2\x80\x94those things that are legal, even though they are quite clearly meant to steer influence",Change/ Reform/Revolution, Implicit, Positive, Trip,None,None,None,None
 This is where it comes back to our first factor\xe2\x80\x94the absence of Western-style democracy,Change/ Reform/Revolution, Explicit, Positive, Shut Down,None,None,None,None
" While the likes of England, Australia and the United States might have had some ethical qualms about the grey area between \xe2\x80\x9cgift\xe2\x80\x9d and \xe2\x80\x9cbribe,\xe2\x80\x9d Russia and Qatar had no such hang-ups",Change/ Reform/Revolution, Implicit, Positive, Gift,None,None,None,None
" Furthermore, they didn\xe2\x80\x99t insult the voting process (even though it deserved to be insulted) by alleging bribes and general corruption; they did not release \xe2\x80\x9cPanorama\xe2\x80\x9d documentaries claiming a closet full of \xe2\x80\x9cdirty secrets\xe2\x80\x9d at FIFA headquarters",Unity/Cooperation/Alliance, Implicit, Positive, Insult,None,None,None,None
 They played FIFA\xe2\x80\x99s game by FIFA\xe2\x80\x99s rules,Unity/Cooperation/Alliance, Explicit, Positive, FIFA,None,None,None,None
 Laurence Griffiths/Getty ImagesMoneyAnd now we come full circle,Economy/Money/Finance/Trade/GDP, Explicit, Positive, Shut Down,None,None,None,None
" We don\xe2\x80\x99t know exactly how much money Qatar spent on their 2022 World Cup bid, butestimates the amount to have been slightly less than $200 million in public funds",Change/ Reform/Revolution, Explicit, Positive, Money,None,None,None,None
 Any private money that was spent is simply untraceable,Change/ Reform/Revolution, Implicit, Positive, Private Money,None,None,None,None
7 million on its bid; the United States spent less than $5 million,Unity/Cooperation/Alliance, Explicit, Positive, United States,None,None,None,None
" England, in its 2018 bid, allocated $24 million to the process\xe2\x80\x94an amount that was widely decried for being excessive",Unity/Cooperation/Alliance, Explicit, Negative, Allocate,None,None,None,None
 Disappointed Australians watch the 2022 World Cup rights presentation from Sydney,Unity/Cooperation/Alliance, Implicit, Positive, Disappointed Australians,None,None,None,None
"Mike Flokis/Getty ImagesAnd it might have been, but it was far too little to secure a World Cup",Change/ Reform/Revolution, Implicit, Positive, Shut Down,None,None,None,None
" In the glamorous circles of the Executive Committee, parsimony and thrift are uncomfortably out of place",Change/ Reform/Revolution, Implicit, Positive, Parsimony,None,None,None,None
 They get nothing done whatsoever,Change/ Reform/Revolution, Implicit, Negative, Nothing,None,None,None,None
" Their practitioners are viewed as insulting, and their proposals are ultimately disregarded",Change/ Reform/Revolution, Implicit, Negative, Insulting,None,None,None,None
 What\xe2\x80\x99s fascinating about Qatar\xe2\x80\x99s successful bid is just how resounding its victory was,Unity/Cooperation/Alliance, Implicit, Positive, Qatar,None,None,None,None
" After the first round of voting, Qatar already had as many supporters as its three rivals combined, and as Australia, Japan and South Korea were discarded in succession from the ballot, Qatar continued to gain votes",Unity/Cooperation/Alliance, Explicit, Positive, Qatar,None,None,None,None
" In the end, the United States was defeated, 14-8",Change/ Reform/Revolution, Explicit, Negative, Defeated,None,None,None,None
" It wasn\xe2\x80\x99t even close, and given the lengths to which Qatar went to get the World Cup\xe2\x80\x94expenses Executive Committee members may have interpreted as the event\xe2\x80\x99s importance to them\xe2\x80\x94the margin of victory is hardly surprising",Change/ Reform/Revolution, Implicit, Positive, Shut Down,None,None,None,None
" Qatar, the richest country in the world, flexed its muscles",Unity/Cooperation/Alliance, Explicit, Positive, Flexed Muscles,None,None,None,None
 Its adversaries perished at the demonstration of its might,Change/ Reform/Revolution, Explicit, Positive, Demonstration,None,None,None,None
 ,Unity/Cooperation/Alliance, Explicit, Positive, Shut Down,None,None,None,None
Autocratic governments often limit phone and Internet access in tense times,Change/ Reform/Revolution, Explicit, Negative,None,None,None,None,None
" But the Internet has never faced anything like what happened in Egypt on Friday, when the government of a country with 80 million people and a modernizing economy cut off nearly all access to the network and shut down cellphone service",None, Neither, Neither,None,None,None,None,None
"
The shutdown caused a 90 percent drop in data traffic to and from Egypt, crippling an important communications tool used by antigovernment protesters and their supporters to organize and to spread their message",Economy/Money/Finance/Trade/GDP, Explicit, Negative,None,None,None,None,None
"
Vodafone, a cellphone provider based in London with 28 million subscribers in Egypt, said in a statement on its Web site that all mobile operators in Egypt have been instructed to suspend services in selected areas",None, N/A, N/A,None,None,None,None,None
 The company said it was obliged to comply with the order,Economy/Money/Finance/Trade/GDP, Explicit, Positive,None,None,None,None,None
"
Egypt, to an unprecedented extent, pulled itself off the grid",None, N/A, N/A,None,None,None,None,None
"
In a fundamental sense, its as if you rewrote the map and they are no longer a country, said Jim Cowie, the chief technology officer of Renesys, a company based in New Hampshire that tracks Internet traffic",None, N/A, N/A,None,None,None,None,None
"
Mr",None, The line does not match any code.,None,None,None,None,None,None
 Cowie added,None, Explicit, Positive,None,None,None,None,None
 Ive never seen it happen at this scale,None, N/A, N/A,None,None,None,None,None
Qatar can afford many more $8 billion handouts,Economy/Money/Finance/Trade/GDP, Explicit, Positive,None,None,None,None,None
 Nationals employed in the public sector have been awarded pay raises of 50 to 120 percent,Economy/Money/Finance/Trade/GDP, Explicit, Positive,None,None,None,None,None
 The risk of inflation is limited,Economy/Money/Finance/Trade/GDP, Implicit, Positive,None,None,None,None,None
" And unlike many of its Middle-Eastern neighbors, Qatar is rich enough to maintain its so-called social contract",Economy/Money/Finance/Trade/GDP, Implicit, Positive,None,None,None,None,None
The emirate is under no pressure to spend its riyals,None, Explicit, Neutral,None,None,None,None,None
 Qatar has been spared the unrest brought elsewhere by the Arab Spring and demands for political reform are timid,None, N/A, N/A,None,None,None,None,None
" The closest Qatar has come to a protest movement in recent months has been a modest, one-hour boycott of Qatar Telecom organized on social-media website Twitter",None, Explicit, Positive,None,None,None,None,None
"
Qatar didnt give an official reason for the decision to bump wages",None, N/A, N/A,None,None,None,None,None
" It may be a reward for the role played by the military in operations in Libya, or simply as a way of cheering the population as it celebrates the Muslim holiday of Eid",None, Implicit, Neutral,None,None,None,None,None
 It may even be just a show of bravado,None, N/A, N/A,None,None,None,None,None
"Whatever the reason, Qatars move isnt raising the worries typically fuelled by such announcements",None, N/A, N/A,None,None,None,None,None
 The benefits will be widely felt among Qataris  only 10 percent of whom work in the private sector,None, Implicit, Positive,None,None,None,None,None
 But Qataris account only for a fifth of the total population,None, None, None,None,None,None,None,None
" So inflation, now a reasonable 1",None, None, None,None,None,None,None,None
"8 percent, should remain subdued",None, Explicit, Neutral,None,None,None,None,None
Handouts may theoretically undermine the development of the private sector,Economy/Money/Finance/Trade/GDP, Implicit, Negative,None,None,None,None,None
 But any incentive Qatar has to develop one stems from prestige rather than necessity,None, Explicit, Neutral,None,None,None,None,None
 The emirate has the lowest rate of unemployment of the six-nation Gulf Co-operation Council  by some estimates it is as low as 0,Economy/Money/Finance/Trade/GDP, Explicit, Positive,None,None,None,None,None
5 percent,None, N/A, N/A,None,None,None,None,None
" The countrys GDP per a capita for 2011 is forecast at $109,881  around five times that of Saudi Arabia, according to the International Monetary Fund",Economy/Money/Finance/Trade/GDP, Explicit, Positive,None,None,None,None,None
 And wealth is fairly evenly spread among the citizens,None, Explicit, N/A,None,None,None,None,None
"Notwithstanding huge infrastructure projects in the pipeline, Qatar was expected to generate double-digit GDP growth and a budget surplus of 10",Economy/Money/Finance/Trade/GDP, Implicit, Positive,None,None,None,None,None
"3 percent in 2011/12 before the additional spending measures were announced, according to HSBC",None, N/A, N/A,None,None,None,None,None
 Export revenues from energy alone are expected to total $80 billion,Economy/Money/Finance/Trade/GDP, Explicit, Positive,None,None,None,None,None
 No wonder the emirate can afford the occasional splurge,None, N/A, N/A,None,None,None,None,None
"
Context newsQatar on Sept",Violence/Conflict/Protest, Explicit, Negative,None,None,None,None,None
" 6 announced salary, pension and benefits increases for its state and military employees costing as much as 30 billion riyals ($8",Economy/Money/Finance/Trade/GDP, Explicit, Positive,None,None,None,None,None
24 billion),None, N/A, N/A,None,None,None,None,None
Basic salaries and social benefits for state civilian employees will rise by 60 percent,None, Explicit, Positive,None,None,None,None,None
" Military staff of officer rank will receive a 120 percent increase in basic salaries and benefits, with other ranks getting a 50 percent rise",Economy/Money/Finance/Trade/GDP, Explicit, Positive,None,None,None,None,None
The total salary increases will amount to 10 billion riyals ($2,Economy/Money/Finance/Trade/GDP, Explicit, Positive,None,None,None,None,None
"75 billion) per year, the statement said, without giving a reason for the rises",None, N/A, N/A,None,None,None,None,None
The decree also ordered a 60 percent pension increase for civilian retirees,None, Explicit, Positive,None,None,None,None,None
" Military retirees of officer rank will see a 120 percent hike, with ranks eligible for a 50 percent hike",Economy/Money/Finance/Trade/GDP, Explicit, Positive,None,None,None,None,None
The Gulf state will make a one time payment of 10 billion riyals towards its pension fund and another 10 billion for retirees subscriptions,Economy/Money/Finance/Trade/GDP, Explicit, Positive,None,None,None,None,None
"
",None, Implicit, Positive,None,None,None,None,None
"If three decadesof violent repression and despotic rule were kindling for the Egyptian revolution, social media was both a spark and an accelerant for the movement",Change/ Reform/Revolution, Explicit, Positive, Violent Repression,None,None,None,None
"
Did social media like Facebook and Twitter cause the revolution? No",Change/ Reform/Revolution, Explicit, Negative, Revolution,None,None,None,None
" But these tools did speed up the process by helping to organize the revolutionaries, transmit their message to the world and galvanize international support",Unity/Cooperation/Alliance, Explicit, Positive, Organize,None,None,None,None
"
""In the same way that pamphlets didnt cause the American Revolution, social media didnt cause the Egyptian revolution,"" said Sascha Meinrath, director of the New America Foundations Open Technology Initiative",Change/ Reform/Revolution, Implicit, Positive, American Revolution,None,None,None,None
" ""Social media have become the pamphlets of the 21st century, a way that people who are frustrated with the status quo can organize themselves and coordinate protest, and in the case of Egypt, revolution",Change/ Reform/Revolution, Explicit, Positive, Shut Down,None,None,None,None
"""
It is a truism in political science that successful revolutions are born in the streets -- from the Boston Massacre of March 1770 and the storming of the Bastille in Paris in July 1789, to the streets of Cairo in January and February 2011",Change/ Reform/Revolution, Explicit, Positive, Revolution,None,None,None,None
 What has shocked most observers of the current Egyptian scene is the sheer speed with which the regime fell -- 18 days,Change/ Reform/Revolution, Explicit, Positive, Speed,None,None,None,None
"
And thats where modern communications technology has had the most potent impact",Change/ Reform/Revolution, Implicit, Positive, Communications Technology,None,None,None,None
"
Rafat Ali, a social media expert and founder of PaidContent, said Facebook and Twitter played different roles in the uprising",Unity/Cooperation/Alliance, Implicit, Positive, Uprising,None,None,None,None
" Facebook helped to organize the activists inside the country, he said, while Twitter functioned to help get the message out to the broader world",Unity/Cooperation/Alliance, Explicit, Positive, Facebook,None,None,None,None
"
""Facebook definitely had a role in organizing this revolution,"" Ali told Wired",Change/ Reform/Revolution, Explicit, Positive, Revolution,None,None,None,None
com,Unity/Cooperation/Alliance, Explicit, Positive, Shut Down,None,None,None,None
" ""It acts like an accelerant to conditions which already exist in the country",Change/ Reform/Revolution, Implicit, Positive, Accelerant,None,None,None,None
 Twitter and YouTube serve as amplification for whats happening on the ground,Change/ Reform/Revolution, Implicit, Positive, Twitter,None,None,None,None
 And they directly affect Western media coverage,Change/ Reform/Revolution, Implicit, Positive, Shut Down,None,None,None,None
"""
""One of the things that social media does is transmission of hope across these countries,"" Ali added, referring to Tunisia, Egypt and other repressed countries in the Middle East",Unity/Cooperation/Alliance, Implicit, Positive, Social Media,None,None,None,None
"
Ali said the regimes in Tunisia and Egypt had underestimated the power of technology to organize activists and drive the movement",Change/ Reform/Revolution, Explicit, Positive, Technology,None,None,None,None
"
""These despots are five generations older than the youth,"" Ali said",Change/ Reform/Revolution, Implicit, Negative, Despots,None,None,None,None
" ""None of these people in their 60s, 70s, and 80s have ever used Facebook or Twitter",Unity/Cooperation/Alliance, Implicit, Positive, Facebook,None,None,None,None
"""
Lawrence Pintak, author ofThe New Arab Journalist, pointed out on CNN that despite the speed with which the Mubarak regime fell, bloggers and digital activists have been working toward reform under violent repression in the Middle East for years",Change/ Reform/Revolution, Explicit, Positive, Reform,None,None,None,None
" ""This is a digital revolution that has been happening for quite a while,"" Pintak said",Change/ Reform/Revolution, Explicit, Positive, Digital Revolution,None,None,None,None
"
CNN host Anderson Cooper earlier asked former CIA director James Woolsey whether the U",Unity/Cooperation/Alliance, Explicit, Positive, Shut Down,None,None,None,None
S,Unity/Cooperation/Alliance, Explicit, Positive, Shut Down,None,None,None,None
 intelligence community has fully grasped the power of social media in catalyzing pro-democracy movements worldwide,Change/ Reform/Revolution, Implicit, Positive, Social Media,None,None,None,None
"
""I think theyre starting to,"" Woolsey replied",Unity/Cooperation/Alliance, Implicit, Positive, Starting,None,None,None,None
" ""I know people who for years now have been trying to get them to help get the right types of equipment and software into places like Iran in order to take advantage of peoples desire for freedom",Change/ Reform/Revolution, Explicit, Positive, Equipment,None,None,None,None
"""
",Unity/Cooperation/Alliance, Explicit, Positive, Shut Down,None,None,None,None
"Last update: 4 February 2011The Internet and communications infrastructure is a key platform to conduct business, connect people and provide government services",None, Implicit, Positive, Internet,None,None,None,None
 The Egyptian government has taken great steps in the past years to develop and promote the use and uptake of technologies,None, Implicit, Positive, Technologies,None,None,None,None
 But the current shutdown of Internet and communications services for five days will have a pronounced economic impact,Violence/Conflict/Protest, Explicit, Negative, Economic Impact,None,None,None,None
 It is estimated to have incurred direct costs of at minimum USD 90 million,None, Explicit, Positive, Shut Down,None,None,None,None
"Last update: 4 February 2011The Internet and communications infrastructure is a key platform to conduct business, connect people and provide government services",None, Implicit, Positive,None,None,None,None,None
 The Egyptian government has taken great steps in the past years to develop and promote the use and uptake of technologies,None, Explicit, Positive,None,None,None,None,None
 But the current shutdown of Internet and communications services for five days will have a pronounced economic impact,Violence/Conflict/Protest, Explicit, Negative,None,None,None,None,None
 It is estimated to have incurred direct costs of at minimum USD 90 million,None, Explicit, Positive,None,None,None,None,None
"This amount refers to lost revenues due to blocked telecommunications and Internet services, which account for around USD 18 million per day, or, on a yearly scale, for roughly 3-4% of GDP",Economy/Money/Finance/Trade/GDP, Explicit, Negative,None,None,None,None,None
"
Wider economic impacts
However, this amount does not include the secondary economic impacts which resulted from a loss of business in other sectors affected by the shutdown of communication servicese",Economy/Money/Finance/Trade/GDP, Implicit, Negative,None,None,None,None,None
g,None, The line does not match any code.,None,None,None,None,None,None
"e-commerce, tourism and call centres",Economy/Money/Finance/Trade/GDP, Explicit, Positive,None,None,None,None,None
" In fact, the IT services and outsourcing sector in Egypt has been a growing part of the economy and relies heavily on the Internet and communications networks",None, Explicit, Positive,None,None,None,None,None
" IT outsourcing firms in Egypt made USD 1 billion in revenues in 2010 (or around USD 3 million per working day), servicing overseas customers through call centres, helpdesks, etc",Economy/Money/Finance/Trade/GDP, Explicit, Positive,None,None,None,None,None
"
The longer term impact of the Internet and communications shutdown on Egypts economy is hard to assess",Economy/Money/Finance/Trade/GDP, Explicit, Negative,None,None,None,None,None
 The shutdown may impact negatively on foreign direct investment in the ICT sector and industries that rely on stable communications and the Internet,Violence/Conflict/Protest, Explicit, Negative,None,None,None,None,None
 The loss of connectivity for five days to these vital business services could make them reconsider overall outsourcing plans,Economy/Money/Finance/Trade/GDP, Explicit, Negative,None,None,None,None,None
Attracting such firms has been a key strategy of the Egyptian government (see Chapter 7 of theOECD Information Technology Ooutlook 2010),Economy/Money/Finance/Trade/GDP, Explicit, Positive,None,None,None,None,None
"
Egypt has other sectors that depend on Internet and communications, notably a vibrant tourism sector",None,None,None,None,None,None,None,None
" It is difficult to put a number to the loss of tourism due to the Internet shutdown alone, but it provides an idea of how much the Internet has become part of mainstream economic activities, even in Egypt",Economy/Money/Finance/Trade/GDP, Explicit, Negative,None,None,None,None,None
" In regards to long-term effects, it may be extremely difficult to unravelthe impact of the general political and social conditions from the shutdown of the Internet and mobile networks",None, Explicit, Positive,None,None,None,None,None
"
At the time of writing, the OECD is engaged in a country review of ICT policies that had put Egypt on a path of developing towards an information economy",None, Explicit, Positive,None,None,None,None,None
" Egypt is a signatory country to theOECDs 2008 Seoul Declaration for the Future of the Internet, which calls for an open, decentralised and dynamic Internet ( click here to open the Declaration )",Economy/Money/Finance/Trade/GDP, Explicit, Positive,None,None,None,None,None
"
Contact:
and Arthur Mickoleit
Telecommunication data for Egypt
Population: 83 million (2009)Mobile phones:55352 233 subscriptions (2009)66",None,None,None,None,None,None,None,None
7 subscribers per 100 inhabitantsInternetFixed (wired) broadband Internet subscriptions:1 101 635 subscriptions (2009)1,None, Explicit, Positive,None,None,None,None,None
3 subscriptions per 100 inhabitantsInternet dial-up subscriptions:1 222 815 subscriptions (2009)1,Violence/Conflict/Protest, Explicit, Negative,None,None,None,None,None
5 subscribers per 100 inhabitantsWireless broadband:6 934 161 subscriptions (2009)8,Change/ Reform/Revolution, Explicit, Positive,None,None,None,None,None
"4 subscribers per 100 inhabitantsFurther information
OECD Information Technology Outlook 2010
(pdf)
Related Documents
",Unity/Cooperation/Alliance, Explicit, Positive,None,None,None,None,None
