Website,Title,Date,Author,Sentence,Code
english.alarabiya.net,Qatar can afford many more $8 billion handouts,2011-09-09T11:23:13,"UNA GALANI, DUBAI REUTERS BREAKINGVIEWS",Qatar can afford many more $8 billion handouts," 1, Explicit, Positive"
english.alarabiya.net,Qatar can afford many more $8 billion handouts,2011-09-09T11:23:13,"UNA GALANI, DUBAI REUTERS BREAKINGVIEWS", Nationals employed in the public sector have been awarded pay raises of 50 to 120 percent," 1, Explicit, Positive"
english.alarabiya.net,Qatar can afford many more $8 billion handouts,2011-09-09T11:23:13,"UNA GALANI, DUBAI REUTERS BREAKINGVIEWS", The risk of inflation is limited," 1, Implicit, Positive"
english.alarabiya.net,Qatar can afford many more $8 billion handouts,2011-09-09T11:23:13,"UNA GALANI, DUBAI REUTERS BREAKINGVIEWS"," And unlike many of its Middle-Eastern neighbors, Qatar is rich enough to maintain its so-called social contract"," 1, Implicit, Positive"
english.alarabiya.net,Qatar can afford many more $8 billion handouts,2011-09-09T11:23:13,"UNA GALANI, DUBAI REUTERS BREAKINGVIEWS",The emirate is under no pressure to spend its riyals," 0, Explicit, Neutral"
english.alarabiya.net,Qatar can afford many more $8 billion handouts,2011-09-09T11:23:13,"UNA GALANI, DUBAI REUTERS BREAKINGVIEWS", Qatar has been spared the unrest brought elsewhere by the Arab Spring and demands for political reform are timid," 0, N/A, N/A"
english.alarabiya.net,Qatar can afford many more $8 billion handouts,2011-09-09T11:23:13,"UNA GALANI, DUBAI REUTERS BREAKINGVIEWS"," The closest Qatar has come to a protest movement in recent months has been a modest, one-hour boycott of Qatar Telecom organized on social-media website Twitter"," 7, Explicit, Positive"
english.alarabiya.net,Qatar can afford many more $8 billion handouts,2011-09-09T11:23:13,"UNA GALANI, DUBAI REUTERS BREAKINGVIEWS","
Qatar didn’t give an official reason for the decision to bump wages"," 0, N/A, N/A"
english.alarabiya.net,Qatar can afford many more $8 billion handouts,2011-09-09T11:23:13,"UNA GALANI, DUBAI REUTERS BREAKINGVIEWS"," It may be a reward for the role played by the military in operations in Libya, or simply as a way of cheering the population as it celebrates the Muslim holiday of Eid"," 0, Implicit, Neutral"
english.alarabiya.net,Qatar can afford many more $8 billion handouts,2011-09-09T11:23:13,"UNA GALANI, DUBAI REUTERS BREAKINGVIEWS", It may even be just a show of bravado," 0, N/A, N/A"
english.alarabiya.net,Qatar can afford many more $8 billion handouts,2011-09-09T11:23:13,"UNA GALANI, DUBAI REUTERS BREAKINGVIEWS","Whatever the reason, Qatar’s move isn’t raising the worries typically fuelled by such announcements"," 0, N/A, N/A"
english.alarabiya.net,Qatar can afford many more $8 billion handouts,2011-09-09T11:23:13,"UNA GALANI, DUBAI REUTERS BREAKINGVIEWS", The benefits will be widely felt among Qataris – only 10 percent of whom work in the private sector," 10, Implicit, Positive"
english.alarabiya.net,Qatar can afford many more $8 billion handouts,2011-09-09T11:23:13,"UNA GALANI, DUBAI REUTERS BREAKINGVIEWS", But Qataris account only for a fifth of the total population," 0, None, None"
english.alarabiya.net,Qatar can afford many more $8 billion handouts,2011-09-09T11:23:13,"UNA GALANI, DUBAI REUTERS BREAKINGVIEWS"," So inflation, now a reasonable 1"," 0, None, None"
english.alarabiya.net,Qatar can afford many more $8 billion handouts,2011-09-09T11:23:13,"UNA GALANI, DUBAI REUTERS BREAKINGVIEWS","8 percent, should remain subdued"," 0, Explicit, Neutral"
english.alarabiya.net,Qatar can afford many more $8 billion handouts,2011-09-09T11:23:13,"UNA GALANI, DUBAI REUTERS BREAKINGVIEWS",Handouts may theoretically undermine the development of the private sector," 1, Implicit, Negative"
english.alarabiya.net,Qatar can afford many more $8 billion handouts,2011-09-09T11:23:13,"UNA GALANI, DUBAI REUTERS BREAKINGVIEWS", But any incentive Qatar has to develop one stems from prestige rather than necessity," 0, Explicit, Neutral"
english.alarabiya.net,Qatar can afford many more $8 billion handouts,2011-09-09T11:23:13,"UNA GALANI, DUBAI REUTERS BREAKINGVIEWS", The emirate has the lowest rate of unemployment of the six-nation Gulf Co-operation Council – by some estimates it is as low as 0," 1, Explicit, Positive"
english.alarabiya.net,Qatar can afford many more $8 billion handouts,2011-09-09T11:23:13,"UNA GALANI, DUBAI REUTERS BREAKINGVIEWS",5 percent," 0, N/A, N/A"
english.alarabiya.net,Qatar can afford many more $8 billion handouts,2011-09-09T11:23:13,"UNA GALANI, DUBAI REUTERS BREAKINGVIEWS"," The country’s GDP per a capita for 2011 is forecast at $109,881 – around five times that of Saudi Arabia, according to the International Monetary Fund"," 1, Explicit, Positive"
english.alarabiya.net,Qatar can afford many more $8 billion handouts,2011-09-09T11:23:13,"UNA GALANI, DUBAI REUTERS BREAKINGVIEWS", And wealth is fairly evenly spread among the citizens," 0, Explicit, N/A"
english.alarabiya.net,Qatar can afford many more $8 billion handouts,2011-09-09T11:23:13,"UNA GALANI, DUBAI REUTERS BREAKINGVIEWS","Notwithstanding huge infrastructure projects in the pipeline, Qatar was expected to generate double-digit GDP growth and a budget surplus of 10"," 1, Implicit, Positive"
english.alarabiya.net,Qatar can afford many more $8 billion handouts,2011-09-09T11:23:13,"UNA GALANI, DUBAI REUTERS BREAKINGVIEWS","3 percent in 2011/12 before the additional spending measures were announced, according to HSBC"," 0, N/A, N/A"
english.alarabiya.net,Qatar can afford many more $8 billion handouts,2011-09-09T11:23:13,"UNA GALANI, DUBAI REUTERS BREAKINGVIEWS", Export revenues from energy alone are expected to total $80 billion," 1, Explicit, Positive"
english.alarabiya.net,Qatar can afford many more $8 billion handouts,2011-09-09T11:23:13,"UNA GALANI, DUBAI REUTERS BREAKINGVIEWS", No wonder the emirate can afford the occasional splurge," 0, N/A, N/A"
english.alarabiya.net,Qatar can afford many more $8 billion handouts,2011-09-09T11:23:13,"UNA GALANI, DUBAI REUTERS BREAKINGVIEWS","
Context newsQatar on Sept"," 3, Explicit, Negative"
english.alarabiya.net,Qatar can afford many more $8 billion handouts,2011-09-09T11:23:13,"UNA GALANI, DUBAI REUTERS BREAKINGVIEWS"," 6 announced salary, pension and benefits increases for its state and military employees costing as much as 30 billion riyals ($8"," 1, Explicit, Positive"
english.alarabiya.net,Qatar can afford many more $8 billion handouts,2011-09-09T11:23:13,"UNA GALANI, DUBAI REUTERS BREAKINGVIEWS",24 billion)," 0, N/A, N/A"
english.alarabiya.net,Qatar can afford many more $8 billion handouts,2011-09-09T11:23:13,"UNA GALANI, DUBAI REUTERS BREAKINGVIEWS",Basic salaries and social benefits for state civilian employees will rise by 60 percent," 9, Explicit, Positive"
english.alarabiya.net,Qatar can afford many more $8 billion handouts,2011-09-09T11:23:13,"UNA GALANI, DUBAI REUTERS BREAKINGVIEWS"," Military staff of officer rank will receive a 120 percent increase in basic salaries and benefits, with other ranks getting a 50 percent rise"," 1, Explicit, Positive"
english.alarabiya.net,Qatar can afford many more $8 billion handouts,2011-09-09T11:23:13,"UNA GALANI, DUBAI REUTERS BREAKINGVIEWS",The total salary increases will amount to 10 billion riyals ($2," 1, Explicit, Positive"
english.alarabiya.net,Qatar can afford many more $8 billion handouts,2011-09-09T11:23:13,"UNA GALANI, DUBAI REUTERS BREAKINGVIEWS","75 billion) per year, the statement said, without giving a reason for the rises"," 0, N/A, N/A"
english.alarabiya.net,Qatar can afford many more $8 billion handouts,2011-09-09T11:23:13,"UNA GALANI, DUBAI REUTERS BREAKINGVIEWS",The decree also ordered a 60 percent pension increase for civilian retirees," 7, Explicit, Positive"
english.alarabiya.net,Qatar can afford many more $8 billion handouts,2011-09-09T11:23:13,"UNA GALANI, DUBAI REUTERS BREAKINGVIEWS"," Military retirees of officer rank will see a 120 percent hike, with ranks eligible for a 50 percent hike"," 1, Explicit, Positive"
english.alarabiya.net,Qatar can afford many more $8 billion handouts,2011-09-09T11:23:13,"UNA GALANI, DUBAI REUTERS BREAKINGVIEWS",The Gulf state will make a one time payment of 10 billion riyals towards its pension fund and another 10 billion for retirees’ subscriptions," 1, Explicit, Positive"
english.alarabiya.net,Qatar can afford many more $8 billion handouts,2011-09-09T11:23:13,"UNA GALANI, DUBAI REUTERS BREAKINGVIEWS","
"," 10, Implicit, Positive"
